book,chapter,verse,content_mismatch_summary,issue_count,order_differs_from_greek_syntax_informational_only,tr_scrivener_sequence,db_sequence,content_mismatch_detail
1Co,12,24,strongs_mismatch,1,yes,"τὰ δὲ εὐσχήμονα ἡμῶν οὐ χρείαν ἔχει. ἀλλὰ ὁ θεὸς συνεκέρασεν τὸ σῶμα τῷ ὑστεροῦντι περισσοτέραν δοὺς τιμήν,",τα δε ημων ευσχημονα εχει ου χρειαν αλλ ὁ θεος συνεκερασεν ὁ σωμα δους περισσοτεραν τιμην τω υστερουντι,"STRONGS MISMATCH: word text matches ('περισσοτέραν'); expected Strong's (TR/TAGNT G4055, cross-walked to this DB's lexeme numbering: G4055) vs DB actual 'περισσοτεραν'=G4053"
1Co,12,25,word_substitution,1,yes,"ἵνα μὴ ᾖ σχίσματα ἐν τῷ σώματι, ἀλλὰ τὸ αὐτὸ ὑπὲρ ἀλλήλων μεριμνῶσιν τὰ μέλη·",το ινα η μη σχισμα εν ὁ σωματι αλλα ὁ μελη μεριμνωσιν αυτο υπερ αλληλων,"DIFFERENT FORM: same Strong's G4978, TR 'σχίσματα' vs DB 'σχισμα'"
1Co,12,31,strongs_mismatch,1,yes,ζηλοῦτε δὲ τὰ χαρίσματα τὰ κρείττονα Καὶ ἔτι καθ᾽ ὑπερβολὴν ὁδὸν ὑμῖν δείκνυμι.¶,τα δε ζηλουτε κρειττονα ὁ χαρισματα και ετι δεικνυμι υμιν καθ υπερβολην οδον,"STRONGS MISMATCH: word text matches ('κρείττονα'); expected Strong's (TR/TAGNT G2908, cross-walked to this DB's lexeme numbering: G2908/G3173) vs DB actual 'κρειττονα'=G2909"
1Co,13,2,word_substitution,1,yes,"καὶ ἐὰν ἔχω προφητείαν καὶ εἰδῶ τὰ μυστήρια πάντα καὶ πᾶσαν τὴν γνῶσιν, καὶ ἐὰν ἔχω πᾶσαν τὴν πίστιν ὥστε ὄρη μεθιστάναι, ἀγάπην δὲ μὴ ἔχω, οὐθέν εἰμι.",και εαν εχω προφητειαν και ειδω παντα ὁ μυστηρια και πασαν ὁ γνωσιν και εαν εχω πασαν ὁ πιστιν ωστε μεθιστανειν ορη δε εχω μη αγαπην ειμι ουδεν,"DIFFERENT FORM: same Strong's G3762, TR 'οὐθέν' vs DB 'ουδεν'"
1Co,13,3,missing_word,1,yes,"κἂν ψωμίσω πάντα τὰ ὑπάρχοντά μου, καὶ ἐὰν παραδῶ τὸ σῶμά μου ἵνα καυθήσωμαι ἀγάπην δὲ μὴ ἔχω, οὐδὲν ὠφελοῦμαι.¶",ψωμισω παντα μου ὁ υπαρχοντα και εαν παραδω μου ὁ σωμα ινα καυθησωμαι δε εχω μη αγαπην ωφελουμαι ουδεν,"MISSING: TR has 'κἂν' (G2532), no match anywhere in DB verse"
1Co,14,23,extra_word,1,yes,"ἐὰν οὖν συνέλθῃ ἡ ἐκκλησία ὅλη ἐπὶ τὸ αὐτὸ καὶ πάντες λαλῶσιν γλώσσαις, εἰσέλθωσιν δὲ ἰδιῶται ἢ ἄπιστοι, οὐκ ἐροῦσιν ὅτι μαίνεσθε;",το εαν ουν ολη ὁ εκκλησια συνελθη επι αυτο και παντες λαλωσιν γλωσσαις δε εισελθωσιν ιδιωται η απιστοι ερουσιν ουκ ερουσιν οτι μαινεσθε,"EXTRA: DB has 'ερουσιν' (G2046), no TR counterpart anywhere in verse"
1Co,15,10,strongs_mismatch,1,yes,"χάριτι δὲ θεοῦ εἰμι ὅ εἰμι, καὶ ἡ χάρις αὐτοῦ ἡ εἰς ἐμὲ οὐ κενὴ ἐγενήθη, ἀλλὰ περισσότερον αὐτῶν πάντων ἐκοπίασα, οὐκ ἐγὼ δέ, ἀλλ᾽ ἡ χάρις τοῦ θεοῦ ἡ σὺν ἐμοί.",η δε χαριτι θεου ειμι ο ειμι και αυτου ὁ χαρις εις εμε εγενηθη ου κενη αλλα εκοπιασα περισσοτερον αυτων παντων δε ουκ εγω αλλ ὁ χαρις ὁ θεου η συν εμοι,"STRONGS MISMATCH: word text matches ('περισσότερον'); expected Strong's (TR/TAGNT G4054, cross-walked to this DB's lexeme numbering: G4054) vs DB actual 'περισσοτερον'=G4053"
1Co,15,19,strongs_mismatch,1,yes,"εἰ ἐν τῇ ζωῇ ταύτῃ ἐν Χριστῷ ἠλπικότες ἐσμὲν μόνον, ἐλεεινότεροι πάντων ἀνθρώπων ἐσμέν.¶",ει εν ταυτη ὁ ζωη μονον εσμεν ηλπικοτες εν χριστω εσμεν παντων ανθρωπων ελεεινοτεροι,"STRONGS MISMATCH: word text matches ('μόνον,'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440"
1Co,15,23,word_substitution,1,yes,"ἕκαστος δὲ ἐν τῷ ἰδίῳ τάγματι· ἀπαρχὴ Χριστός, ἔπειτα οἱ Χριστοῦ ἐν τῇ παρουσίᾳ αὐτοῦ·",δε εκαστος εν ὁ ιδιω ταγματι χριστος απαρχη επειτα οι χριστου εν αυτου ὁ παρουσια,"DIFFERENT FORM: same Strong's G3588, TR 'τῷ' vs DB 'οι'"
1Co,15,35,missing_word,1,yes,Ἀλλ᾽ ἐρεῖ τις· πῶς ἐγείρονται οἱ νεκροί; ποίῳ δὲ σώματι ἔρχονται;,αλλ τις ερει πως οι εγειρονται δε ποιω σωματι ερχονται,"MISSING: TR has 'νεκροί;' (G3498), no match anywhere in DB verse"
1Co,16,10,mixed_content,2,yes,"Ἐὰν δὲ ἔλθῃ Τιμόθεος, βλέπετε ἵνα ἀφόβως γένηται πρὸς ὑμᾶς· τὸ γὰρ ἔργον κυρίου ἐργάζεται ὡς κἀγώ.",το δε εαν τιμοθεος ελθη βλεπετε ινα γενηται προς υμας αφοβως γαρ εργαζεται εργον κυριου ως εγω και,"DIFFERENT FORM: same Strong's G1473, TR 'κἀγώ.' vs DB 'εγω' | EXTRA: DB has 'και' (G2532), no TR counterpart anywhere in verse"
1Co,16,22,mixed_content,2,yes,"εἴ τις οὐ φιλεῖ τὸν κύριον Ἰησοῦν Χριστόν, ἤτω ἀνάθεμα. Μαρὰν ἀθά",ει τις φιλει ου ὁ κυριον ιησουν χριστον ητω αναθεμα μαραν αθα,"DIFFERENT FORM: same Strong's G3134, TR 'Μαρὰν ἀθά' vs DB 'μαραν' | EXTRA: DB has 'αθα' (G3134), no TR counterpart anywhere in verse"
1Co,16,24,missing_word,14,yes,ἡ ἀγάπη μου μετὰ πάντων ὑμῶν ἐν Χριστῷ Ἰησοῦ. ἀμήν πρός Κορινθίους πρώτη ἐγράφη ἀπό Φιλίππων διά Στεφανᾶ καί φουρτουνάτου καί Ἀχαϊκοῦ καί Τιμοθέου.¶,μου ὁ αγαπη μετα υμων παντων εν χριστω ιησου αμην,"MISSING: TR has 'πρός' (G4314), no match anywhere in DB verse | MISSING: TR has 'Κορινθίους' (G2881), no match anywhere in DB verse | MISSING: TR has 'πρώτη' (G4413), no match anywhere in DB verse | MISSING: TR has 'ἐγράφη' (G1125), no match anywhere in DB verse | MISSING: TR has 'ἀπό' (G0575), no match anywhere in DB verse | MISSING: TR has 'Φιλίππων' (G5375), no match anywhere in DB verse | MISSING: TR has 'διά' (G1223), no match anywhere in DB verse | MISSING: TR has 'Στεφανᾶ' (G4734), no match anywhere in DB verse | MISSING: TR has 'καί' (G2532), no match anywhere in DB verse | MISSING: TR has 'φουρτουνάτου' (G5415), no match anywhere in DB verse | MISSING: TR has 'καί' (G2532), no match anywhere in DB verse | MISSING: TR has 'Ἀχαϊκοῦ' (G0883), no match anywhere in DB verse | MISSING: TR has 'καί' (G2532), no match anywhere in DB verse | MISSING: TR has 'Τιμοθέου.¶' (G5095), no match anywhere in DB verse"
1Jn,1,2,extra_word,2,yes,"καὶ ἡ ζωὴ ἐφανερώθη, καὶ ἑωράκαμεν καὶ μαρτυροῦμεν καὶ ἀπαγγέλλομεν ὑμῖν τὴν ζωὴν τὴν αἰώνιον ἥτις ἦν πρὸς τὸν πατέρα καὶ ἐφανερώθη ἡμῖν·",και ὁ ζωη εφανερωθη και εωρακαμεν και μαρτυρουμεν και απαγγελλομεν υμιν ὁ ζωην αιωνιον ὁ ζωην ητις ην προς ὁ πατερα και εφανερωθη ημιν την,"EXTRA: DB has 'ζωην' (G2222), no TR counterpart anywhere in verse | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
1Jn,1,4,mixed_content,3,yes,καὶ ταῦτα γράφομεν ὑμῖν ἵνα ἡ χαρὰ ἡμῶν ᾖ πεπληρωμένη.,και ταυτα γραφομεν υμιν ινα υμων ὁ χαρα η πεπληρωμενη,"STRONGS MISMATCH: word text matches ('ὑμῖν'); expected Strong's (TR/TAGNT G5213, cross-walked to this DB's lexeme numbering: G1473/G3165/G5213) vs DB actual 'υμιν'=G4771 | MISSING: TR has 'ἡμῶν' (G3165), no match anywhere in DB verse | EXTRA: DB has 'υμων' (G4771), no TR counterpart anywhere in verse"
1Jn,1,5,word_substitution,1,yes,καὶ ἔστιν αὕτη ἡ ἐπαγγελία ἣν ἀκηκόαμεν ἀπ᾽ αὐτοῦ καὶ ἀναγγέλλομεν ὑμῖν ὅτι ὁ θεὸς φῶς ἐστιν καὶ σκοτία ἐν αὐτῷ οὐκ ἔστιν οὐδεμία.,αυτη και εστιν ὁ αγγελια ην ακηκοαμεν απ αυτου και αναγγελλομεν υμιν οτι ὁ θεος εστιν φως και εν αυτω εστιν ουκ σκοτια ουδεμια,"DIFFERENT FORM: same Strong's G1860, TR 'ἐπαγγελία' vs DB 'αγγελια'"
1Jn,2,2,mixed_content,2,yes,καὶ αὐτὸς ἱλασμός ἐστιν περὶ τῶν ἁμαρτιῶν ἡμῶν· οὐ περὶ τῶν ἡμετέρων δὲ μόνον ἀλλὰ καὶ περὶ ὅλου τοῦ κόσμου.,και αυτος εστιν ιλασμος περι ημων ὁ αμαρτιων δε ου περι ημετερων μονον αλλα και περι ὁ ολου ὁ κοσμου των,"STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440 | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
1Jn,2,7,extra_word,3,yes,Ἀδελφοί οὐκ ἐντολὴν καινὴν γράφω ὑμῖν ἀλλ᾽ ἐντολὴν παλαιὰν ἣν εἴχετε ἀπ᾽ ἀρχῆς· ἡ ἐντολὴ ἡ παλαιά ἐστιν ὁ λόγος ὃν ἠκούσατε ἀπ᾽ ἀρχῆς.,αδελφοι γραφω ουκ καινην εντολην υμιν αλλ εντολην παλαιαν εντολην ην ειχετε απ αρχης ὁ εντολη παλαια ὁ εντολη εστιν ὁ λογος ον ηκουσατε απ αρχης η,"EXTRA: DB has 'εντολη' (G1785), no TR counterpart anywhere in verse | EXTRA: DB has 'εντολη' (G1785), no TR counterpart anywhere in verse | EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
1Jn,2,8,extra_word,1,yes,"πάλιν ἐντολὴν καινὴν γράφω ὑμῖν ὅ ἐστιν ἀληθὲς ἐν αὐτῷ καὶ ἐν ὑμῖν, ὅτι ἡ σκοτία παράγεται καὶ τὸ φῶς τὸ ἀληθινὸν ἤδη φαίνει.",παλιν καινην εντολην γραφω υμιν ο εστιν αληθες εν αυτω και εν υμιν οτι ὁ σκοτια παραγεται και ὁ αληθινον ὁ φως ηδη φαινει το,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
